year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2017,12,bournemouth,44,-16,45,61,11,11,16,"28,60",£9.68m,£1.94m,"24,73",£28.13m,£2.56m,"23,14",£13.05m,£1.86m,"24,75",£53.64m,£4.47m,/afc-bournemouth/startseite/verein/989/saison_id/2017
2017,13,west ham united,42,-20,48,68,10,12,16,"26,00",£18.90m,£6.30m,"25,36",£59.04m,£4.22m,"22,08",£71.24m,£5.94m,"24,83",£89.19m,£7.43m,/west-ham-united/startseite/verein/379/saison_id/2017
2017,14,watford,41,-20,44,64,11,8,19,"29,75",£7.43m,£1.86m,"27,23",£35.33m,£2.72m,"24,78",£55.80m,£6.20m,"23,64",£52.02m,£4.73m,/fc-watford/startseite/verein/1010/saison_id/2017
2017,15,brighton hove albion,40,-20,34,54,9,13,16,"26,75",£7.20m,£1.80m,"28,10",£20.70m,£2.07m,"23,79",£22.95m,£1.64m,"25,64",£45.23m,£4.11m,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017
2017,16,huddersfield town,37,-30,28,58,9,10,19,"25,75",£2.03m,£506k,"24,42",£21.60m,£1.80m,"24,20",£13.64m,£1.36m,"24,89",£20.70m,£2.30m,/huddersfield-town/startseite/verein/1110/saison_id/2017
2017,17,southampton,36,-19,37,56,7,15,16,"30,67",£16.43m,£5.48m,"24,30",£79.88m,£7.99m,"24,17",£42.75m,£7.13m,"23,90",£83.70m,£8.37m,/fc-southampton/startseite/verein/180/saison_id/2017
2017,18,swansea city,33,-28,28,56,8,9,21,"29,33",£11.70m,£3.90m,"25,78",£28.58m,£3.18m,"24,69",£57.37m,£4.41m,"24,45",£56.57m,£5.14m,/swansea-city/startseite/verein/2288/saison_id/2017
2017,19,stoke city,33,-33,35,68,7,12,19,"27,67",£15.08m,£5.03m,"23,85",£59.90m,£4.61m,"28,25",£29.25m,£3.66m,"24,00",£55.80m,£5.07m,/stoke-city/startseite/verein/512/saison_id/2017
2017,20,west bromwich albion,31,-25,31,56,6,13,19,"29,33",£4.95m,£1.65m,"24,73",£27.09m,£2.46m,"27,25",£42.08m,£5.26m,"23,82",£74.84m,£6.80m,/west-bromwich-albion/startseite/verein/984/saison_id/2017
2016,1,chelsea,93,52,85,33,30,3,5,"26,20",£44.78m,£8.96m,"24,00",£130.55m,£7.25m,"22,42",£152.55m,£12.71m,"23,86",£215.10m,£15.36m,/fc-chelsea/startseite/verein/631/saison_id/2016
2016,2,tottenham hotspur,86,60,86,26,26,8,4,"23,80",£27.45m,£5.49m,"24,40",£97.20m,£9.72m,"22,29",£123.30m,£8.81m,"20,67",£99.00m,£11.00m,/tottenham-hotspur/startseite/verein/148/saison_id/2016
2016,3,manchester city,78,41,80,39,23,9,6,"29,00",£31.50m,£7.88m,"25,07",£164.34m,£10.96m,"25,85",£198.68m,£15.28m,"21,67",£164.75m,£13.73m,/manchester-city/startseite/verein/281/saison_id/2016
2016,4,liverpool,76,36,78,42,22,10,6,"28,20",£20.43m,£4.09m,"23,27",£92.93m,£8.45m,"23,45",£105.84m,£9.62m,"21,27",£135.54m,£12.32m,/fc-liverpool/startseite/verein/31/saison_id/2016
2016,5,arsenal,75,33,77,44,23,6,9,"26,20",£30.60m,£6.12m,"24,46",£128.93m,£9.92m,"22,31",£181.80m,£13.98m,"23,45",£129.15m,£11.74m,/fc-arsenal/startseite/verein/11/saison_id/2016
